match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
2ac362e7-4a1f-5d72-9bf8-b82693286d71,pool-B-1,2018-04-20 21:33:45 UTC,501,Search & Destroy,USS Texas,OpTic Gaming,Karma,W,6,8,3,5,2.67,9.6,3.6,1,0,0,0,0,8,30,110,27.30%,8,486.3,60.8,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,8,1,0,5,1,1,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8c8056dd-10f2-51aa-ac53-ef630b34dc1b,champs-losers-1-1,2018-04-22 03:47:12 UTC,742,Search & Destroy,London Docks,Epsilon,Vortex,W,6,7,7,0,1,5.7,5.7,3,0,0,0,0,6,39,231,16.90%,11,668,60.7,PPSh-41,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,11,0,0,4,5,3,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17f6ed85-fb96-5cd4-9393-3e99a59d7c17,pool-A-8,2018-04-21 22:31:16 UTC,509,Search & Destroy,USS Texas,Lightning Pandas,Royalty,W,6,8,2,6,4,9.4,2.4,0,2,0,0,0,8,8,28,28.60%,8,482.1,60.3,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,1,1,6,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0
2ac362e7-4a1f-5d72-9bf8-b82693286d71,pool-B-1,2018-04-20 21:33:45 UTC,501,Search & Destroy,USS Texas,OpTic Gaming,Scump,W,6,5,3,2,1.67,6,3.6,0,0,0,0,0,3,21,91,23.10%,8,478.2,59.8,PPSh-41,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30a8771f-7f73-5fc4-ab03-cc82317da793,champs-grand-finals-0,2018-04-23 01:13:43 UTC,901,Search & Destroy,London Docks,Evil Geniuses,Aches,L,5,9,8,1,1.12,6,5.3,2,1,0,0,0,8,50,274,18.20%,11,657.5,59.8,BAR,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,11,1,3,3,2,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79f9751c-3668-56b5-b451-8d438282154b,champs-grand-finals-1,2018-04-23 02:31:21 UTC,443,Search & Destroy,Valkyrie,Rise Nation,Slasher,W,6,9,1,8,9,12.2,1.4,2,0,0,0,0,9,36,221,16.30%,7,418.8,59.8,BAR,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,2,0,6,3,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,1,0
81a36256-1c1a-51e6-91d4-d5b06be0fc01,pool-D-4,2018-04-20 21:36:04 UTC,609,Search & Destroy,USS Texas,Splyce,MadCat,L,3,2,6,-4,0.33,2,5.9,3,0,0,0,0,2,9,180,5.00%,9,532.1,59.1,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ff41c753-72b0-5c31-81ed-374f685efb89,champs-losers-3-3,2018-04-22 05:43:20 UTC,660,Search & Destroy,USS Texas,Unilad,Wuskin,W,6,6,6,0,1,5.5,5.5,4,0,0,0,0,4,39,244,16.00%,9,531.8,59.1,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30a8771f-7f73-5fc4-ab03-cc82317da793,champs-grand-finals-0,2018-04-23 01:13:43 UTC,901,Search & Destroy,London Docks,Rise Nation,TJHaly,W,6,8,9,-1,0.89,5.3,6,6,2,0,0,0,7,51,203,25.10%,11,650,59.1,PPSh-41,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,11,1,1,2,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b0f5562-b4c0-5ef7-a86a-c577f4468673,pool-B-6,2018-04-21 22:49:51 UTC,693,Search & Destroy,Valkyrie,Team EnVyUs,Chino,W,6,9,3,6,3,7.8,2.6,1,0,0,0,0,9,40,166,24.10%,10,587.6,58.8,STG-44,,Scoped,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,10,2,1,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
